,plant,insect_name,damage,min_temp,max_temp,avg_temp,humidity,rain,rain_percentage,humidity_avg
84,Maize,Stem Borer,Sap sucking/hopper burn,26,39,32.5,82-78,Low,20,80.0
85,Cotton,Pink Bollworm,Root feeding,22,38,30.0,87-71,High,80,79.0
86,Potato,Leafhopper,Top leaf damage,26,38,32.0,64-70,High,80,67.0
87,Potato,Wireworm,Fruit infestation,26,40,33.0,74-94,Moderate,50,84.0
88,Coconut,Leaf Eating Caterpillar,Trunk boring,25,39,32.0,78-84,Low,20,81.0
89,Potato,Cutworm,Nut damage/yield loss,26,38,32.0,58-80,High,80,69.0
90,Wheat,Aphids,Nut damage/yield loss,26,35,30.5,58-81,Moderate,50,69.5
91,Rice,Leaf Folder,Trunk boring,20,35,27.5,67-70,Low,20,68.5
92,Cotton,Pink Bollworm,Leaf webbing,24,35,29.5,86-74,Low,20,80.0
93,Maize,Fall Armyworm,Root/stem rot,25,37,31.0,88-93,Moderate,50,90.5
94,Sugarcane,Top Borer,Bud/leaf damage,21,34,27.5,59-72,Moderate,50,65.5
95,Maize,Corn Earworm,Sap sucking/hopper burn,21,34,27.5,54-75,Low,20,64.5
96,Wheat,Aphids,Nut damage/yield loss,21,40,30.5,64-79,High,80,71.5
97,Wheat,Aphids,Root/stem rot,23,39,31.0,53-81,Moderate,50,67.0
98,Rice,Yellow Stem Borer,Nut damage/yield loss,24,37,30.5,75-80,Moderate,50,77.5
99,Potato,Wireworm,Leaf webbing,21,40,30.5,53-88,Low,20,70.5
100,Coconut,Red Palm Weevil,Leaf/frond damage,22,38,30.0,82-90,Low,20,86.0
101,Wheat,Stem Sawfly,Bud/leaf damage,21,38,29.5,53-73,Moderate,50,63.0
102,Coconut,Coconut Eriophyid Mite,Sap sucking/hopper burn,26,37,31.5,56-78,Low,20,67.0
103,Cotton,Whitefly,Leaf defoliation,24,36,30.0,89-81,High,80,85.0
104,Coconut,Rhinoceros Beetle,Leaf/frond damage,25,38,31.5,81-78,Moderate,50,79.5
105,Coconut,Red Palm Weevil,Fruit infestation,26,37,31.5,51-93,Low,20,72.0
106,Cotton,Whitefly,Fruit infestation,26,39,32.5,51-75,High,80,63.0
107,Banana,Fruit Fly (Bactrocera),Trunk boring,24,34,29.0,77-70,High,80,73.5
108,Wheat,Aphids,Shoot tunneling,22,39,30.5,75-92,High,80,83.5
109,Cotton,Aphids,Leaf/frond damage,21,40,30.5,81-78,Moderate,50,79.5
110,Wheat,Aphids,Nut damage/yield loss,25,35,30.0,52-84,High,80,68.0
111,Rice,Yellow Stem Borer,Nut damage/yield loss,23,39,31.0,69-82,Low,20,75.5
112,Rice,Yellow Stem Borer,Fruit infestation,24,37,30.5,65-70,High,80,67.5
113,Potato,Wireworm,Leaf defoliation,26,40,33.0,90-88,Low,20,89.0
114,Soybean,Bean Leaf Beetle,Bud/leaf damage,26,34,30.0,80-82,Moderate,50,81.0
115,Wheat,Aphids,Leaf/frond damage,25,37,31.0,59-70,Low,20,64.5
116,Coconut,Rhinoceros Beetle,Bud/leaf damage,20,36,28.0,77-93,Moderate,50,85.0
117,Cotton,Whitefly,Fruit infestation,21,36,28.5,52-83,Low,20,67.5
118,Potato,Potato Beetle,Top leaf damage,23,35,29.0,76-87,Moderate,50,81.5
119,Tomato,Whitefly,Root/stem rot,24,34,29.0,67-93,High,80,80.0
120,Potato,Leafhopper,Nut damage/yield loss,20,35,27.5,57-85,High,80,71.0
121,Rice,Leaf Folder,Top leaf damage,20,39,29.5,77-71,Moderate,50,74.0
122,Wheat,Armyworm,Leaf defoliation,24,37,30.5,51-84,Low,20,67.5
123,Tomato,Tomato Hornworm,Leaf defoliation,26,39,32.5,78-86,Moderate,50,82.0
124,Tomato,Tomato Hornworm,Bud/leaf damage,26,39,32.5,62-88,High,80,75.0
125,Wheat,Armyworm,Stalk tunneling,22,40,31.0,78-88,Moderate,50,83.0
126,Potato,Wireworm,Leaf defoliation,21,40,30.5,70-73,Moderate,50,71.5
127,Cotton,Whitefly,Shoot tunneling,24,34,29.0,78-74,Low,20,76.0
128,Maize,Rootworm,Sap sucking/viruses,24,38,31.0,76-89,Low,20,82.5
129,Coconut,Rhinoceros Beetle,Bud/leaf damage,23,40,31.5,75-90,High,80,82.5
130,Maize,Stem Borer,Sap sucking/viruses,25,35,30.0,52-94,Low,20,73.0
131,Potato,Potato Beetle,Root feeding,26,35,30.5,64-78,High,80,71.0
132,Cotton,Pink Bollworm,Leaf/frond damage,20,37,28.5,62-70,Low,20,66.0
133,Soybean,Soybean Aphid,Root feeding,26,38,32.0,75-72,High,80,73.5
134,Maize,Rootworm,Trunk boring,26,39,32.5,64-80,Moderate,50,72.0
135,Soybean,Corn Earworm,Shoot tunneling,25,35,30.0,79-79,Low,20,79.0
136,Tomato,Leaf Miner,Nut damage/yield loss,23,37,30.0,74-89,Moderate,50,81.5
137,Wheat,Aphids,Nut damage/yield loss,26,34,30.0,84-90,Moderate,50,87.0
138,Coconut,Leaf Eating Caterpillar,Fruit infestation,21,36,28.5,51-82,Low,20,66.5
139,Tomato,Leaf Miner,Stalk tunneling,20,40,30.0,63-83,Moderate,50,73.0
140,Maize,Corn Earworm,Root/stem rot,25,37,31.0,54-88,Moderate,50,71.0
141,Rice,Leaf Folder,Sap sucking/hopper burn,24,39,31.5,78-79,High,80,78.5
142,Wheat,Armyworm,Top leaf damage,25,35,30.0,59-73,Moderate,50,66.0
143,Coconut,Rhinoceros Beetle,Sap sucking/viruses,25,34,29.5,61-90,High,80,75.5
144,Rice,Brown Plant Hopper,Leaf defoliation,26,39,32.5,88-78,Low,20,83.0
145,Maize,Fall Armyworm,Sap sucking/hopper burn,24,39,31.5,62-72,Low,20,67.0
146,Banana,Aphids,Stalk tunneling,24,38,31.0,73-85,Moderate,50,79.0
147,Wheat,Hessian Fly,Sap sucking/hopper burn,25,36,30.5,52-91,High,80,71.5
148,Cotton,Pink Bollworm,Leaf/frond damage,24,40,32.0,82-77,Low,20,79.5
149,Cotton,Whitefly,Root feeding,21,35,28.0,51-90,Moderate,50,70.5
150,Tomato,Aphids,Stalk tunneling,22,35,28.5,54-79,High,80,66.5
151,Sugarcane,White Grub,Root/stem rot,25,36,30.5,73-79,Low,20,76.0
152,Rice,Leaf Folder,Root/stem rot,20,39,29.5,78-80,Moderate,50,79.0
153,Banana,Aphids,Stalk tunneling,25,37,31.0,59-74,Low,20,66.5
154,Sugarcane,White Grub,Nut damage/yield loss,20,39,29.5,80-75,High,80,77.5
155,Sugarcane,Top Borer,Root feeding,22,37,29.5,54-75,Low,20,64.5
156,Potato,Cutworm,Top leaf damage,25,40,32.5,55-70,Low,20,62.5
157,Wheat,Stem Sawfly,Fruit infestation,23,40,31.5,59-90,Moderate,50,74.5
158,Maize,Fall Armyworm,Root feeding,21,37,29.0,90-82,High,80,86.0
159,Tomato,Tomato Hornworm,Leaf/frond damage,21,34,27.5,57-78,Moderate,50,67.5
160,Coconut,Coconut Eriophyid Mite,Sap sucking/viruses,22,34,28.0,69-80,High,80,74.5
161,Wheat,Hessian Fly,Leaf defoliation,23,35,29.0,59-75,Moderate,50,67.0
162,Potato,Cutworm,Stalk tunneling,25,35,30.0,68-88,Low,20,78.0
163,Soybean,Corn Earworm,Nut damage/yield loss,23,36,29.5,87-72,Low,20,79.5
164,Maize,Fall Armyworm,Root/stem rot,25,38,31.5,68-73,Low,20,70.5
165,Sugarcane,Top Borer,Nut damage/yield loss,26,37,31.5,89-77,High,80,83.0
166,Soybean,Corn Earworm,Top leaf damage,20,35,27.5,88-72,Moderate,50,80.0
167,Rice,Brown Plant Hopper,Leaf webbing,21,40,30.5,77-83,High,80,80.0
168,Potato,Potato Beetle,Stalk tunneling,21,34,27.5,67-73,Low,20,70.0
169,Potato,Leafhopper,Nut damage/yield loss,22,40,31.0,59-77,High,80,68.0
170,Wheat,Aphids,Root/stem rot,21,36,28.5,73-86,Moderate,50,79.5
171,Wheat,Aphids,Nut damage/yield loss,22,37,29.5,80-91,Low,20,85.5
172,Wheat,Stem Sawfly,Bud/leaf damage,24,38,31.0,80-86,Low,20,83.0
173,Rice,Yellow Stem Borer,Bud/leaf damage,24,40,32.0,73-78,High,80,75.5
174,Soybean,Corn Earworm,Nut damage/yield loss,25,40,32.5,66-84,Moderate,50,75.0
175,Wheat,Armyworm,Leaf webbing,21,37,29.0,60-81,Moderate,50,70.5
176,Rice,Gall Midge,Shoot tunneling,20,38,29.0,57-84,Moderate,50,70.5
177,Rice,Leaf Folder,Root/stem rot,26,34,30.0,64-84,High,80,74.0
178,Rice,Yellow Stem Borer,Leaf webbing,23,39,31.0,52-85,Moderate,50,68.5
179,Rice,Brown Plant Hopper,Shoot tunneling,20,34,27.0,56-81,Low,20,68.5
180,Rice,Gall Midge,Stalk tunneling,21,37,29.0,82-74,Low,20,78.0
181,Cotton,Whitefly,Leaf defoliation,24,40,32.0,73-70,High,80,71.5
182,Sugarcane,White Grub,Leaf defoliation,21,39,30.0,50-82,High,80,66.0
183,Wheat,Hessian Fly,Root/stem rot,26,34,30.0,58-72,High,80,65.0
184,Tomato,Tomato Hornworm,Leaf webbing,25,38,31.5,63-82,Low,20,72.5
185,Coconut,Coconut Eriophyid Mite,Stalk tunneling,21,40,30.5,68-74,High,80,71.0
186,Cotton,Pink Bollworm,Sap sucking/viruses,22,37,29.5,90-79,Moderate,50,84.5
187,Cotton,Pink Bollworm,Sap sucking/viruses,25,39,32.0,54-84,Low,20,69.0
188,Rice,Leaf Folder,Top leaf damage,25,40,32.5,77-89,High,80,83.0
189,Banana,Weevil Borer,Top leaf damage,21,34,27.5,76-76,High,80,76.0
190,Sugarcane,White Grub,Top leaf damage,26,37,31.5,71-76,High,80,73.5
191,Maize,Stem Borer,Bud/leaf damage,22,39,30.5,55-88,High,80,71.5
192,Rice,Yellow Stem Borer,Fruit infestation,24,40,32.0,70-72,High,80,71.0
193,Coconut,Rhinoceros Beetle,Bud/leaf damage,23,40,31.5,59-71,Moderate,50,65.0
194,Soybean,Bean Leaf Beetle,Nut damage/yield loss,25,40,32.5,83-72,Moderate,50,77.5
195,Maize,Stem Borer,Top leaf damage,21,39,30.0,68-87,Moderate,50,77.5
196,Banana,Fruit Fly (Bactrocera),Trunk boring,23,40,31.5,77-71,High,80,74.0
197,Coconut,Red Palm Weevil,Root/stem rot,26,39,32.5,86-90,Low,20,88.0
198,Coconut,Red Palm Weevil,Leaf defoliation,26,34,30.0,86-71,High,80,78.5
199,Rice,Yellow Stem Borer,Sap sucking/viruses,23,36,29.5,68-79,High,80,73.5
200,Maize,Corn Earworm,Shoot tunneling,23,39,31.0,69-86,High,80,77.5
201,Rice,Yellow Stem Borer,Top leaf damage,25,39,32.0,76-79,Moderate,50,77.5
202,Tomato,Leaf Miner,Leaf defoliation,23,37,30.0,55-71,Moderate,50,63.0
203,Rice,Brown Plant Hopper,Sap sucking/viruses,24,39,31.5,79-81,High,80,80.0
204,Tomato,Aphids,Leaf defoliation,20,35,27.5,59-80,Low,20,69.5
205,Banana,Aphids,Sap sucking/hopper burn,20,40,30.0,59-81,Low,20,70.0
206,Maize,Fall Armyworm,Top leaf damage,25,39,32.0,74-72,High,80,73.0
207,Tomato,Whitefly,Fruit infestation,22,34,28.0,65-89,Low,20,77.0
208,Soybean,Bean Leaf Beetle,Root/stem rot,23,38,30.5,59-93,Moderate,50,76.0
209,Maize,Corn Earworm,Root feeding,24,40,32.0,57-81,Moderate,50,69.0
210,Soybean,Cutworm,Leaf defoliation,23,40,31.5,56-84,Moderate,50,70.0
211,Banana,Fruit Fly (Bactrocera),Trunk boring,20,40,30.0,64-90,Low,20,77.0
212,Potato,Cutworm,Leaf webbing,20,39,29.5,81-86,High,80,83.5
213,Maize,Stem Borer,Fruit infestation,22,34,28.0,55-91,High,80,73.0
214,Cotton,Whitefly,Leaf defoliation,25,38,31.5,50-80,High,80,65.0
215,Potato,Cutworm,Shoot tunneling,20,39,29.5,86-90,High,80,88.0
216,Wheat,Aphids,Shoot tunneling,20,39,29.5,67-95,High,80,81.0
217,Rice,Leaf Folder,Root feeding,24,35,29.5,69-91,Low,20,80.0
218,Sugarcane,Pyrilla,Trunk boring,24,37,30.5,58-84,Low,20,71.0
219,Wheat,Armyworm,Leaf webbing,24,35,29.5,76-77,High,80,76.5
220,Maize,Fall Armyworm,Leaf defoliation,22,35,28.5,77-92,Moderate,50,84.5
221,Soybean,Corn Earworm,Top leaf damage,26,36,31.0,89-73,Moderate,50,81.0
222,Tomato,Aphids,Leaf/frond damage,22,39,30.5,86-86,Low,20,86.0
223,Sugarcane,White Grub,Sap sucking/viruses,23,35,29.0,82-75,Moderate,50,78.5
224,Sugarcane,White Grub,Stalk tunneling,23,37,30.0,81-76,Moderate,50,78.5
225,Maize,Rootworm,Stalk tunneling,24,40,32.0,74-73,Moderate,50,73.5
226,Wheat,Aphids,Trunk boring,20,36,28.0,78-86,High,80,82.0
227,Maize,Stem Borer,Root feeding,25,38,31.5,84-89,High,80,86.5
228,Rice,Brown Plant Hopper,Root/stem rot,20,38,29.0,64-81,Moderate,50,72.5
229,Tomato,Aphids,Leaf/frond damage,20,37,28.5,58-71,Low,20,64.5
230,Potato,Wireworm,Shoot tunneling,20,36,28.0,85-93,Low,20,89.0
231,Maize,Corn Earworm,Root/stem rot,25,37,31.0,55-80,Moderate,50,67.5
232,Banana,Fruit Fly (Bactrocera),Stalk tunneling,22,35,28.5,82-74,Moderate,50,78.0
233,Banana,Panama Wilt (Fusarium),Trunk boring,22,37,29.5,59-84,Low,20,71.5
234,Coconut,Rhinoceros Beetle,Sap sucking/hopper burn,21,35,28.0,62-77,Low,20,69.5
235,Tomato,Leaf Miner,Fruit infestation,20,35,27.5,50-89,Moderate,50,69.5
236,Soybean,Corn Earworm,Leaf/frond damage,24,36,30.0,69-94,Low,20,81.5
237,Maize,Rootworm,Stalk tunneling,21,36,28.5,75-79,Low,20,77.0
238,Potato,Potato Beetle,Leaf defoliation,22,36,29.0,74-84,Low,20,79.0
239,Wheat,Hessian Fly,Leaf defoliation,26,37,31.5,52-86,High,80,69.0
240,Maize,Fall Armyworm,Top leaf damage,26,39,32.5,54-88,Moderate,50,71.0
241,Banana,Weevil Borer,Leaf defoliation,25,40,32.5,60-72,High,80,66.0
242,Cotton,Cotton Leafworm,Leaf webbing,21,40,30.5,74-79,High,80,76.5
243,Potato,Cutworm,Trunk boring,24,37,30.5,53-84,High,80,68.5
244,Rice,Leaf Folder,Nut damage/yield loss,26,34,30.0,75-70,High,80,72.5
245,Coconut,Rhinoceros Beetle,Shoot tunneling,21,37,29.0,83-91,Low,20,87.0
246,Rice,Brown Plant Hopper,Stalk tunneling,26,39,32.5,83-72,High,80,77.5
247,Tomato,Tomato Hornworm,Stalk tunneling,26,40,33.0,77-89,High,80,83.0
248,Wheat,Armyworm,Leaf webbing,24,38,31.0,54-82,Low,20,68.0
249,Wheat,Stem Sawfly,Sap sucking/hopper burn,20,40,30.0,67-74,High,80,70.5
250,Rice,Yellow Stem Borer,Leaf/frond damage,21,36,28.5,90-93,Moderate,50,91.5
251,Maize,Corn Earworm,Root feeding,20,38,29.0,85-95,Low,20,90.0
252,Banana,Fruit Fly (Bactrocera),Shoot tunneling,23,36,29.5,56-77,Low,20,66.5
253,Potato,Cutworm,Root/stem rot,22,35,28.5,71-72,Moderate,50,71.5
254,Banana,Aphids,Nut damage/yield loss,20,35,27.5,65-86,Low,20,75.5
255,Wheat,Stem Sawfly,Nut damage/yield loss,21,34,27.5,63-74,High,80,68.5
256,Coconut,Rhinoceros Beetle,Sap sucking/viruses,25,36,30.5,57-81,Moderate,50,69.0
257,Banana,Aphids,Root feeding,21,34,27.5,50-76,High,80,63.0
258,Potato,Cutworm,Leaf/frond damage,25,36,30.5,60-93,Low,20,76.5
259,Rice,Brown Plant Hopper,Fruit infestation,25,40,32.5,84-85,Low,20,84.5
260,Cotton,Aphids,Leaf/frond damage,22,37,29.5,73-71,Low,20,72.0
261,Rice,Leaf Folder,Leaf/frond damage,21,37,29.0,74-80,High,80,77.0
262,Maize,Stem Borer,Fruit infestation,23,38,30.5,79-95,Low,20,87.0
263,Coconut,Rhinoceros Beetle,Nut damage/yield loss,23,35,29.0,59-71,High,80,65.0
264,Soybean,Bean Leaf Beetle,Leaf webbing,26,36,31.0,90-74,Moderate,50,82.0
265,Cotton,Pink Bollworm,Root feeding,22,36,29.0,81-88,High,80,84.5
266,Sugarcane,Pyrilla,Nut damage/yield loss,21,37,29.0,79-73,High,80,76.0
267,Wheat,Stem Sawfly,Leaf defoliation,24,39,31.5,84-71,Low,20,77.5
268,Cotton,Whitefly,Fruit infestation,20,37,28.5,86-82,Moderate,50,84.0
269,Sugarcane,White Grub,Top leaf damage,22,35,28.5,68-84,High,80,76.0
270,Rice,Gall Midge,Root/stem rot,20,39,29.5,55-95,Low,20,75.0
271,Cotton,Aphids,Top leaf damage,24,39,31.5,56-74,Moderate,50,65.0
272,Sugarcane,White Grub,Stalk tunneling,22,40,31.0,51-86,High,80,68.5
273,Rice,Brown Plant Hopper,Root feeding,20,39,29.5,52-86,High,80,69.0
274,Rice,Leaf Folder,Leaf/frond damage,23,34,28.5,53-73,High,80,63.0
275,Banana,Aphids,Nut damage/yield loss,21,34,27.5,68-79,High,80,73.5
276,Coconut,Red Palm Weevil,Shoot tunneling,22,37,29.5,52-83,Moderate,50,67.5
277,Maize,Stem Borer,Stalk tunneling,25,39,32.0,54-85,Low,20,69.5
278,Sugarcane,White Grub,Trunk boring,20,35,27.5,76-89,Moderate,50,82.5
279,Soybean,Soybean Aphid,Root/stem rot,26,37,31.5,51-91,Low,20,71.0
280,Banana,Panama Wilt (Fusarium),Sap sucking/hopper burn,21,35,28.0,50-78,High,80,64.0
281,Soybean,Cutworm,Trunk boring,26,38,32.0,59-89,Moderate,50,74.0
282,Sugarcane,Top Borer,Fruit infestation,25,36,30.5,82-75,High,80,78.5
283,Wheat,Stem Sawfly,Leaf webbing,23,39,31.0,59-88,Low,20,73.5
284,Rice,Brown Plant Hopper,Nut damage/yield loss,25,38,31.5,64-93,Low,20,78.5
285,Tomato,Aphids,Trunk boring,24,40,32.0,74-83,High,80,78.5
286,Coconut,Red Palm Weevil,Trunk boring,21,35,28.0,90-82,Moderate,50,86.0
287,Coconut,Coconut Eriophyid Mite,Trunk boring,26,39,32.5,68-95,High,80,81.5
288,Coconut,Leaf Eating Caterpillar,Leaf/frond damage,21,34,27.5,90-73,Moderate,50,81.5
289,Tomato,Whitefly,Sap sucking/hopper burn,21,37,29.0,53-78,High,80,65.5
290,Wheat,Armyworm,Sap sucking/hopper burn,22,34,28.0,56-82,Low,20,69.0
291,Tomato,Leaf Miner,Trunk boring,26,40,33.0,55-74,High,80,64.5
292,Tomato,Aphids,Fruit infestation,24,39,31.5,52-80,High,80,66.0
293,Sugarcane,Pyrilla,Sap sucking/viruses,22,40,31.0,88-90,High,80,89.0
294,Coconut,Leaf Eating Caterpillar,Sap sucking/viruses,23,39,31.0,81-89,High,80,85.0
295,Wheat,Hessian Fly,Root/stem rot,21,40,30.5,86-75,Low,20,80.5
296,Potato,Potato Beetle,Nut damage/yield loss,23,37,30.0,51-81,Low,20,66.0
297,Potato,Wireworm,Nut damage/yield loss,20,36,28.0,66-80,Moderate,50,73.0
298,Coconut,Rhinoceros Beetle,Root/stem rot,24,38,31.0,66-83,Moderate,50,74.5
299,Banana,Panama Wilt (Fusarium),Bud/leaf damage,21,38,29.5,71-88,Moderate,50,79.5
300,Rice,Brown Plant Hopper,Root feeding,21,35,28.0,79-73,Moderate,50,76.0
301,Banana,Aphids,Sap sucking/hopper burn,21,35,28.0,74-93,High,80,83.5
302,Maize,Stem Borer,Leaf defoliation,25,40,32.5,62-82,High,80,72.0
303,Rice,Leaf Folder,Root/stem rot,23,37,30.0,60-88,Moderate,50,74.0
304,Potato,Wireworm,Nut damage/yield loss,23,40,31.5,74-94,Low,20,84.0
